audio/0002_Office Working/0008_Receiving and Sending a File./0058_Receiving a File/0369.mp3	Grip the string of the button envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0393.mp3	Fold the letter into thirds, making precise folds to ensure a compact shape.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0394.mp3	Put the letter into the envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0395.mp3	Grab the glue stick.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0396.mp3	Uncap the glue stick.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0397.mp3	Glue along the edge of the envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0398.mp3	Press the envelope to seal.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0399.mp3	Cap the glue stick.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0400.mp3	Put down the glue stick.
audio/0002_Office Working/0008_Receiving and Sending a File./0062_Folding and Preparing the Letter/0401.mp3	Stamp the corner of the envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0402.mp3	Unclasp the metal clasp of the envelope by lifting and pulling it away from the slot.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0403.mp3	Carefully pull out the file clipped at the top from the envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0404.mp3	Reverse the folds of the clipped document.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0405.mp3	Read the document attentively, holding it with one hand and using the other to help navigate pages.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0406.mp3	Unclip the clip from the top of the file by sliding it off.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0407.mp3	Take out one page of the paper.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0408.mp3	Crumple the taken-out page into a ball and set it aside.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0409.mp3	Attach a paper clip to the top of the remaining aligned files to keep them together.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0410.mp3	Fold the stacked files along the predetermined lines for compact storage.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0411.mp3	Insert the folded files into a clasp envelope, aligning them within.
audio/0002_Office Working/0008_Receiving and Sending a File./0063_Handling the Clasp Envelope and Individual Pages/0412.mp3	Clasp the metal clasp of the envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0064_Handling the Clamped File/0413.mp3	Flip the file to the third page.
audio/0002_Office Working/0008_Receiving and Sending a File./0064_Handling the Clamped File/0414.mp3	Sign the third page using a smooth, flowing motion.
audio/0002_Office Working/0008_Receiving and Sending a File./0064_Handling the Clamped File/0415.mp3	Open the side clamp by pressing the lever and gently pulling it away from the file.
audio/0002_Office Working/0008_Receiving and Sending a File./0064_Handling the Clamped File/0416.mp3	Switch the signed page to the front page.
audio/0002_Office Working/0008_Receiving and Sending a File./0064_Handling the Clamped File/0417.mp3	Arrange the signed files side by side, aligning them by their edges.
audio/0002_Office Working/0008_Receiving and Sending a File./0064_Handling the Clamped File/0418.mp3	Secure the signed document within a clamp holder by pressing down on the clamp and sliding it into place.
audio/0002_Office Working/0008_Receiving and Sending a File./0065_Sending the File/0419.mp3	Pile the clamped file, the clasp envelope and the letter envelope into a stack, with the letter envelope on bottom and the clasp envelope on top.
audio/0002_Office Working/0008_Receiving and Sending a File./0065_Sending the File/0420.mp3	Insert the stacked content into the button envelope.
audio/0002_Office Working/0008_Receiving and Sending a File./0065_Sending the File/0421.mp3	Roll the string to close the button envelope.
