audio/0002_Office Working/0011_Filming gestures with GoPro/0088_Unpacking the GoPro/0612.mp3	Unzip the GoPro case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0637.mp3	Screw the tripod into the bottom of the GoPro.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0638.mp3	Bend the tripod legs open.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0639.mp3	Stabilize the tripod on the table.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0640.mp3	Loosen the screw on the tripod.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0641.mp3	Rotate the GoPro to have the lens facing yourself.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0642.mp3	Tighten the tripod.
audio/0002_Office Working/0011_Filming gestures with GoPro/0091_Setting Up the Tripod/0643.mp3	Adjust the GoPro to ensure it can film yourself.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0644.mp3	Press the recording button to start filming.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0645.mp3	Make a greeting gesture.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0646.mp3	Snap once with your right hand.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0647.mp3	Snap once with your left hand.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0648.mp3	Snap once with both hands together.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0649.mp3	Flick all of the fingers of your right hand as if you were flicking water (no actual water).
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0650.mp3	Flick once with your left hand in a similar motion.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0651.mp3	Perform a salt sprinkling motion with your right hand (no actual salt).
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0652.mp3	Clap both hands together.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0653.mp3	Give a thumbs-up gesture.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0654.mp3	Interlock your fingers.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0655.mp3	Cross your index and middle fingers on both hands.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0656.mp3	Make a heart gesture with your hands.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0657.mp3	Point to the camera.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0658.mp3	Make expressive gestures with your hands to convey additional meaning or emotion.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0659.mp3	Climbing like a monkey.
audio/0002_Office Working/0011_Filming gestures with GoPro/0092_Filming Gestures/0660.mp3	Press the recording button to stop filming.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0661.mp3	Unscrew the tripod from the GoPro.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0662.mp3	Straighten the tripod legs.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0663.mp3	Put the tripod back in the GoPro case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0664.mp3	Pull down the notch of the GoPro side lid to change the battery.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0665.mp3	Detach the battery from the battery slot.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0666.mp3	Put the battery back in the GoPro case.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0667.mp3	Close the battery lid.
audio/0002_Office Working/0011_Filming gestures with GoPro/0093_Packing Up/0668.mp3	Put the GoPro back in the GoPro case.
